noise_param,noise_level,gaussian_level,sparse_level,stripe_prob,stripe_strength,case_id,method,mPSNR,mSSIM,ERGAS,time_sec
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,sponges_ms,CTV-RPCA,38.714730,0.984095,4.391877,738.009842
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,sponges_ms,RPCA,21.484936,0.638152,31.056011,41.595354
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,stuffed_toys_ms,Noisy,11.759473,0.041957,195.651345,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,stuffed_toys_ms,SSCTV-RPCA,47.006761,0.990350,3.581577,4441.696267
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,stuffed_toys_ms,CTV-RPCA,43.149407,0.989920,7.291146,797.673457
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,stuffed_toys_ms,RPCA,22.316694,0.844493,60.572352,79.860182
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,superballs_ms,Noisy,11.759993,0.017826,594.332465,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,superballs_ms,SSCTV-RPCA,47.143754,0.990018,9.380487,4373.187900
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,superballs_ms,CTV-RPCA,38.937335,0.986735,26.038665,752.051476
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,superballs_ms,RPCA,23.542864,0.865187,141.194937,110.297941
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,thread_spools_ms,Noisy,11.763660,0.037321,319.327541,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,thread_spools_ms,SSCTV-RPCA,47.793251,0.991534,5.307358,4537.577470
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,thread_spools_ms,CTV-RPCA,42.734602,0.989787,9.153137,749.280291
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,thread_spools_ms,RPCA,25.705053,0.865310,60.437354,51.764235
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,watercolors_ms,Noisy,11.765228,0.093806,64.586338,0.000000
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,watercolors_ms,SSCTV-RPCA,42.907147,0.979903,2.088086,4651.419946
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,watercolors_ms,CTV-RPCA,39.952019,0.983475,2.839796,666.582053
sparse,0.400000,0.000000,0.400000,0.000000,0.100000,watercolors_ms,RPCA,28.689279,0.865201,9.584161,27.505030
